/t
506,576,56,55
429,576,56,55
350,577,56,55
785,104,56,55
842,107,56,55
524,316,56,55
428,398,56,55
/a
614,314,112,127
754,314,112,127
873,314,112,127
/c
506,570,54,24
506,594,54,24
506,618,54,24
429,570,54,24
429,594,54,24
429,618,54,24
350,573,54,24
350,597,54,24
350,621,54,24
785,100,54,24
785,124,54,24
785,148,54,24
842,103,54,24
842,127,54,24
842,151,54,24
524,312,54,24
524,336,54,24
524,360,54,24
428,394,54,24
428,418,54,24
428,442,54,24
600,300,40,24
640,300,40,24
680,300,40,24
740,300,40,24
780,300,40,24
820,300,40,24
859,300,40,24
899,300,40,24
939,300,40,24
592,511,76,70
685,511,76,70
779,511,76,70
495,465,76,70
684,593,76,70
874,593,76,70
 
